# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
149   Eu                  1900.0
150   Eu                 10400.0
150   Eu_isomer            400.0
152   Eu                  5300.0
152   Eu_isomer           1400.0
152   Eun                 1700.0
154   Eu                  4200.0
154   Eu_isomer           1900.0
155   Eu                  1300.0
156   Eu                  2400.0
157   Eu                  3200.0
158   Eu                  3300.0
159   Eu                  3200.0
142   Gd                  5700.0
143   Gd_isomer          11300.0
144   Gd                  4300.0
145   Gd                  5000.0
145   Gd_isomer           2900.0
146   Gd                  6300.0
147   Gd                  8800.0
148   Gd                     0.0
149   Gd                  6000.0
150   Gd                     0.0
151   Gd                  2100.0
152   Gd                     0.0
153   Gd                  3100.0
159   Gd                   800.0
162   Gd                  3300.0
146   Tb                  8600.0
147   Tb                  7500.0
147   Tb_isomer           4700.0
148   Tb                  7800.0
148   Tb_isomer          13800.0
149   Tb                  6400.0
149   Tb_isomer           6100.0
150   Tb                  6700.0
150   Tb_isomer          13800.0
151   Tb                  8300.0
151   Tb_isomer            900.0
152   Tb                  6700.0
152   Tb_isomer           7700.0
153   Tb                  4500.0
154   Tb                  5200.0
155   Tb                  4000.0
156   Tb                  9000.0
156   Tb_isomer           1200.0
156   Tbn                  100.0
157   Tb                   200.0
158   Tb                  3900.0
160   Tb                  4100.0
161   Tb                  1600.0
162   Tb                  6100.0
163   Tb                  6100.0
164   Tb                  9500.0
165   Tb                  1800.0
148   Dy                  4400.0
149   Dy                  5900.0
150   Dy                  2900.0
151   Dy                  5900.0
152   Dy                  4700.0
153   Dy                  6900.0
154   Dy                     0.0
155   Dy                  5400.0
157   Dy                  4700.0
159   Dy                  1600.0
165   Dy                   300.0
165   Dy_isomer            300.0
166   Dy                  1100.0
167   Dy                  4400.0
168   Dy                  3700.0
150   Ho                  8500.0
153   Ho                  7100.0
153   Ho_isomer           8000.0
154   Ho                 10200.0
154   Ho_isomer          15500.0
155   Ho                  5000.0
156   Ho                 10200.0
157   Ho                  6400.0
159   Ho                  6100.0
160   Ho                  7300.0
161   Ho                  2500.0
162   Ho                  1900.0
162   Ho_isomer           3900.0
163   Ho                     0.0
164   Ho                   900.0
164   Ho_isomer           1500.0
166   Ho                   300.0
166   Ho_isomer           9200.0
167   Ho                  4000.0
168   Ho                  3100.0
168   Ho_isomer            200.0
170   Ho                  7400.0
154   Er                  2400.0
156   Er                  2100.0
159   Er                  5000.0
161   Er                  4500.0
163   Er                  1300.0
165   Er                  1200.0
167   Er_isomer           1700.0
169   Er                     0.0
171   Er                  4800.0
172   Er                  4000.0
173   Er                  6400.0
161   Tm                  7800.0
162   Tm                  5800.0
163   Tm                  6200.0
164   Tm                  4000.0
165   Tm                  5700.0
166   Tm                  6000.0
167   Tm                  3000.0
168   Tm                  7700.0
170   Tm                   100.0
171   Tm                     0.0
172   Tm                  1000.0
173   Tm                  3200.0
174   Tm                 11700.0
175   Tm                  4700.0
176   Tm                  7300.0
162   Yb                  3800.0
163   Yb                  3900.0
164   Yb                  1300.0
165   Yb                  3600.0
166   Yb                  2400.0
167   Yb                  5500.0
169   Yb                  6900.0
175   Yb                   400.0
177   Yb                  1200.0
178   Yb                   400.0
179   Yb                  5500.0
165   Lu                  6900.0
167   Lu                  6600.0
169   Lu                  5200.0
169   Lu_isomer            200.0
170   Lu                  4600.0
171   Lu                  4800.0
171   Lu_isomer            300.0
172   Lu                  7500.0
172   Lu_isomer            100.0
173   Lu                  3700.0
174   Lu                  1500.0
174   Lu_isomer           2000.0
176   Lu                  6900.0
176   Lu_isomer            400.0
177   Lu                   600.0
177   Lu_isomer          14100.0
178   Lu                   500.0
178   Lu_isomer          12200.0
179   Lu                   500.0
180   Lu                  5600.0
181   Lu                  4400.0
167   Hf                  5500.0
169   Hf                  5200.0
170   Hf                  5300.0
172   Hf                  3900.0
173   Hf                  6300.0
174   Hf                     0.0
175   Hf                  4700.0
177   Hf_isomer          29200.0
178   Hf_isomer          21300.0
179   Hf_isomer          11100.0
180   Hf_isomer          10900.0
181   Hf                  4800.0
182   Hf                  3400.0
182   Hf_isomer           8100.0
183   Hf                  3800.0
184   Hf                  4300.0
170   Ta                  6700.0
172   Ta                  8100.0
173   Ta                  4700.0
174   Ta                  6500.0
175   Ta                  6100.0
176   Ta                  5400.0
177   Ta                  1700.0
178   Ta                  1800.0
178   Ta_isomer          14200.0
179   Ta                   900.0
180   Ta                  1400.0
182   Ta                  4800.0
182   Ta_isomer           5500.0
183   Ta                  5300.0
184   Ta                 10400.0
185   Ta                  2900.0
186   Ta                  9900.0
177   W                   7900.0
178   W                    600.0
179   W                   2000.0
179   W_isomer            1300.0
181   W                   1200.0
185   W                      0.0
185   W_isomer            1100.0
187   W                   3300.0
188   W                      0.0
190   W                   6000.0
178   Re                  7100.0
179   Re                  7200.0
180   Re                  5300.0
181   Re                  6600.0
182   Re                 12300.0
182   Re_isomer           5300.0
183   Re                  3800.0
184   Re                  4300.0
184   Re_isomer           5700.0
186   Re                   700.0
186   Re_isomer           5300.0
187   Re                     0.0
188   Re                   900.0
