# Hp10_100cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_shield
184   Re_isomer             67.0
186   Re                     4.0
186   Re_isomer              5.0
187   Re                     0.0
188   Re                    10.0
188   Re_isomer             16.0
189   Re                    10.0
190   Re                   223.0
190   Re_isomer            157.0
180   Os                    29.0
181   Os                   218.0
182   Os                    79.0
183   Os                   114.0
183   Os_isomer            155.0
185   Os                   116.0
186   Os                     0.0
189   Os_isomer              0.0
190   Os_isomer            271.0
191   Os                    18.0
191   Os_isomer              2.0
193   Os                    13.0
194   Os                     2.0
196   Os                    15.0
180   Ir                   268.0
182   Ir                   235.0
183   Ir                   183.0
184   Ir                   309.0
185   Ir                   131.0
186   Ir                   262.0
186   Ir_isomer            191.0
187   Ir                    59.0
188   Ir                   288.0
189   Ir                    18.0
190   Ir                   253.0
190   Ir_isomer              0.0
190   Irn                   14.0
191   Ir_isomer             17.0
192   Ir                   142.0
192   Ir_isomer              1.0
192   Irn                    2.0
193   Ir_isomer              0.0
194   Ir                    15.0
194   Ir_isomer            395.0
195   Ir                    14.0
195   Ir_isomer             67.0
196   Ir                    38.0
196   Ir_isomer            419.0
184   Pt                   135.0
186   Pt                   118.0
187   Pt                   109.0
188   Pt                    41.0
189   Pt                    87.0
190   Pt                     0.0
191   Pt                    58.0
193   Pt                     1.0
193   Pt_isomer              3.0
195   Pt_isomer             19.0
197   Pt                     6.0
197   Pt_isomer             18.0
199   Pt                    34.0
200   Pt                    13.0
202   Pt                     0.0
186   Au                   245.0
187   Au                   161.0
190   Au                   323.0
191   Au                   106.0
192   Au                   273.0
193   Au                    35.0
193   Au_isomer             37.0
194   Au                   159.0
195   Au                    20.0
195   Au_isomer             38.0
196   Au                    86.0
196   Au_isomer             51.0
198   Au                    70.0
198   Au_isomer            101.0
199   Au                    19.0
200   Au                    42.0
200   Au_isomer            336.0
201   Au                     6.0
202   Au                    27.0
190   Hg                    42.0
191   Hg_isomer            242.0
192   Hg                    55.0
193   Hg                   133.0
193   Hg_isomer            163.0
194   Hg                     1.0
195   Hg                    38.0
195   Hg_isomer             40.0
197   Hg                    18.0
197   Hg_isomer             21.0
199   Hg_isomer             36.0
203   Hg                    43.0
205   Hg                     1.0
206   Hg                    22.0
207   Hg                   376.0
190   Tl                   218.0
190   Tl_isomer            407.0
194   Tl                   157.0
194   Tl_isomer            420.0
195   Tl                   182.0
196   Tl                   279.0
197   Tl                    78.0
198   Tl                   294.0
198   Tl_isomer            210.0
199   Tl                    48.0
200   Tl                   208.0
201   Tl                    22.0
202   Tl                    85.0
204   Tl                     0.0
206   Tl                     0.0
206   Tl_isomer            398.0
207   Tl                     0.0
208   Tl                   420.0
209   Tl                   314.0
210   Tl                   405.0
194   Pb                   173.0
195   Pb_isomer            280.0
196   Pb                    91.0
197   Pb                   233.0
197   Pb_isomer            200.0
198   Pb                    82.0
199   Pb                   162.0
200   Pb                    44.0
201   Pb                   130.0
201   Pb_isomer             62.0
202   Pb                     1.0
202   Pb_isomer            322.0
203   Pb                    61.0
204   Pb_isomer            328.0
205   Pb                     1.0
209   Pb                     0.0
210   Pb                     4.0
211   Pb                    11.0
212   Pb                    28.0
214   Pb                    46.0
197   Bi                   265.0
200   Bi                   402.0
201   Bi                   259.0
202   Bi                   437.0
203   Bi                   348.0
204   Bi                   453.0
205   Bi                   247.0
206   Bi                   514.0
207   Bi                   243.0
208   Bi                   305.0
210   Bi                     0.0
210   Bi_isomer             47.0
211   Bi                     8.0
212   Bi                    16.0
212   Bin                    0.0
213   Bi                    22.0
214   Bi                   210.0
215   Bi                    43.0
216   Bi                   126.0
203   Po                   255.0
204   Po                   200.0
205   Po                   247.0
206   Po                   202.0
207   Po                   205.0
208   Po                     0.0
209   Po                     1.0
210   Po                     0.0
211   Po                     1.0
212   Po                     0.0
212   Po_isomer             10.0
213   Po                     0.0
214   Po                     0.0
215   Po                     0.0
216   Po                     0.0
218   Po                     0.0
204   At                   392.0
205   At                   186.0
206   At                   406.0
207   At                   310.0
208   At                   478.0
209   At                   377.0
210   At                   438.0
211   At                    10.0
215   At                     0.0
216   At                     1.0
217   At                     0.0
218   At                     0.0
219   At                     0.0
220   At                    80.0
207   Rn                   167.0
209   Rn                   192.0
210   Rn                    11.0
211   Rn                   294.0
212   Rn                     0.0
215   Rn                     0.0
216   Rn                     0.0
217   Rn                     0.0
218   Rn                     0.0
219   Rn                    10.0
220   Rn                     0.0
222   Rn                     0.0
223   Rn                    62.0
212   Fr                   181.0
219   Fr                     1.0
220   Fr                     3.0
221   Fr                     6.0
222   Fr                    37.0
223   Fr                    19.0
224   Fr                    88.0
227   Fr                    82.0
219   Ra                    31.0
220   Ra                     1.0
221   Ra                    10.0
222   Ra                     2.0
223   Ra                    29.0
224   Ra                     2.0
225   Ra                     9.0
226   Ra                     1.0
227   Ra                    37.0
228   Ra                     4.0
230   Ra                    17.0
223   Ac                     5.0
224   Ac                    51.0
225   Ac                     6.0
226   Ac                    28.0
227   Ac                     1.0
228   Ac                   141.0
230   Ac                    81.0
231   Ac                    80.0
232   Ac                   162.0
233   Ac                    85.0
223   Th                    20.0
224   Th                     5.0
226   Th                     3.0
227   Th                    34.0
228   Th                     2.0
229   Th                    32.0
230   Th                     2.0
231   Th                    21.0
232   Th                     2.0
233   Th                     9.0
234   Th                     4.0
235   Th                     9.0
236   Th                     7.0
227   Pa                     9.0
228   Pa                   233.0
229   Pa                    20.0
230   Pa                   119.0
231   Pa                    19.0
232   Pa                   159.0
233   Pa                    50.0
234   Pa                   252.0
234   Pa_isomer              3.0
235   Pa                     0.0
236   Pa                   140.0
237   Pa                    98.0
227   U                     28.0
228   U                      3.0
230   U                      3.0
231   U                     41.0
232   U                      3.0
233   U                      1.0
234   U                      2.0
235   U                     36.0
235   U_isomer               0.0
236   U                      2.0
237   U                     42.0
238   U                      2.0
239   U                     14.0
240   U                      8.0
242   U                      8.0
232   Np                   212.0
233   Np                    25.0
234   Np                   171.0
235   Np                     8.0
236   Np                    58.0
236   Np_isomer             15.0
237   Np                    20.0
238   Np                    97.0
239   Np                    46.0
240   Np                   190.0
240   Np_isomer             59.0
241   Np                    11.0
242   Np                    39.0
242   Np_isomer            168.0
232   Pu                    18.0
234   Pu                    21.0
235   Pu                    30.0
236   Pu                     3.0
237   Pu                    20.0
238   Pu                     3.0
239   Pu                     1.0
240   Pu                     3.0
241   Pu                     0.0
242   Pu                     2.0
243   Pu                     8.0
244   Pu                     5.0
245   Pu                    71.0
246   Pu                    39.0
237   Am                    80.0
238   Am                   155.0
239   Am                    67.0
240   Am                   179.0
241   Am                    16.0
242   Am                    10.0
242   Am_isomer              7.0
243   Am                    17.0
244   Am                   153.0
244   Am_isomer              6.0
245   Am                     8.0
246   Am                   157.0
246   Am_isomer            155.0
247   Am                    31.0
238   Cm                    25.0
239   Cm                    59.0
240   Cm                     3.0
241   Cm                   109.0
242   Cm                     3.0
243   Cm                    35.0
244   Cm                     2.0
245   Cm                    32.0
246   Cm                     2.0
247   Cm                    55.0
248   Cm                   431.0
249   Cm                     3.0
250   Cm                 22475.0
251   Cm                    20.0
245   Bk                    60.0
246   Bk                   156.0
247   Bk                    31.0
248   Bk_isomer             16.0
249   Bk                     0.0
250   Bk                   141.0
251   Bk                    28.0
